,,1756-EN2TR,PanelView 5510,Studio 5000 View Designer,Studio 5000 Logix Designer,1756-OB32,1756-OF8I,1756-IB32,1756-IF8I,1756-OB16D,1756-IB16,1756-OB16E,1756-IB16D,1783-ETAP2F,1756-L73S
Features - General,System features for Studio 5000 Logix Designer version 31.00.01,,,,Compatible,,,,,,,,,,
Features - General,System features for Studio 5000 View Designer version 4.01,,,Compatible,,,,,,,,,,,
Features - General,System features for Studio 5000 View Designer version 5.01,,,Compatible,,,,,,,,,,,
Features - General,System features for Studio 5000 View Designer version 5.02,,,Compatible,,,,,,,,,,,
Features - General,System Features New features in this release for Studio 5000 Logix Designer version 28.00,,,,Compatible,,,,,,,,,,
Features - General,System Features New features in this release for Studio 5000 Logix Designer version 29.00,,,,Compatible,,,,,,,,,,
Features - General,System Install,,,Compatible,Compatible,,,,,,,,,,
Features - General,"Tool Windows, Auto-Hide ",,,,Compatible,,,,,,,,,,
Features - General,USB Network Access Port,Not Compatible,,,,,,,,,,,,,
Features - General,V23 Product Resiliency Improvement,,,,Compatible,,,,,,,,,,
Features - General,Web Server,,,,,,,,,,,,,Compatible,
Features - General,Windows 8 support,,,Compatible,Compatible,,,,,,,,,,
Features - Add On Instructions,Access to Module Object,,,,Compatible,,,,,,,,,,
Features - Add On Instructions,"Add-On Instructions, Attributes",,,,Compatible,,,,,,,,,,
Features - Add On Instructions,"Add-On Instructions, False Execution",,,,Compatible,,,,,,,,,,
Features - Add On Instructions,"Add-On Instructions, High-Integrity ",,,,Compatible,,,,,,,,,,
Features - Add On Instructions,"Add-On Instructions, Improved False Execution Time",,,,Compatible,,,,,,,,,,
Features - Add On Instructions,"Add-On Instructions, Safety ",,,,Compatible,,,,,,,,,,
Features - Add On Instructions,"Add-On Instructions, User Defined",,,,Compatible,,,,,,,,,,
Features - Add On Instructions,Pre-scan of Add-On Instruction Behavior,,,,,,,,,,,,,,
Features - Alarms and Events,Alarm Shelving support for Logix device-based Alarms,,,May be Compatible,May be Compatible,,,,,,,,,,
Features - Alarms and Events,ALMA and ALMD Instructions,,,Compatible,Compatible,,,,,,,,,,
Features - Alarms and Events,FactoryTalk Alarms and Events Features,,,May be Compatible,Compatible,,,,,,,,,,
Features - Alarms and Events,Full ISA 18.2 Alarm State Standard Adoption,,,May be Compatible,May be Compatible,,,,,,,,,,
Features - Alarms and Events,Logix Tag-based Alarms,,,,Compatible,,,,,,,,,,
Features - Communications EtherNetIP Network,Can Close TCP Connections Without Affecting CIP Connections,Compatible,,,,,,,,,,,,,
Features - Communications EtherNetIP Network,Digitally Signed Firmware Option for Additional Security,Compatible,,,,,,,,,,,,,
Features - Communications EtherNetIP Network,Embedded Switch Technology,Compatible,,,,,,,,,,,,Compatible,
Features - Communications EtherNetIP Network,Enhanced Communication Capacity Calculation,Compatible,,,,,,,,,,,,,
Features - Communications EtherNetIP Network,Enhanced Fault Recovery (00103681),Compatible,,,,,,,,,,,,,
Features - Communications EtherNetIP Network,Enhanced Motion Performance,Compatible,,,,,,,,,,,,,
Features - Communications EtherNetIP Network,Enhanced ODVA Compliance (00104806),Compatible,,,,,,,,,,,,,
Features - Communications EtherNetIP Network,Enhanced Web Server Security,Compatible,,,,,,,,,,,,,
Features - Communications EtherNetIP Network,Expanded Socket Connections Support,,,,Compatible,,,,,,,,,,
Features - Communications EtherNetIP Network,Improved Motion Performance,Compatible,,,,,,,,,,,,,
Features - Communications EtherNetIP Network,Optimized for L7x,Compatible,,,,,,,,,,,,,
Features - Communications EtherNetIP Network,Option to Unicast Producer and Consumer Tags on EtherNetIP,,,,Compatible,,,,,,,,,,
Features - Communications EtherNetIP Network,QuickConnect,,,,Compatible,,,,,,,,,,
Features - Communications EtherNetIP Network,Rack Unicast IO Connections,Compatible,,,,,,,,,,,,,
Features - Communications EtherNetIP Network,Support for 1715 Redundant IO Systems,Compatible,,,,,,,,,,,,,
Features - Communications EtherNetIP Network,Support for Backplane Double Data Rate Communication,Compatible,,,,,,,,,,,,,
Features - Communications EtherNetIP Network,Support for CIP Sync,Compatible,,,,,,,,,,,,,
Features - Communications EtherNetIP Network,Support for Default Gateway Address for Devices with IP Address Switches,Compatible,,,,,,,,,,,,,
Features - Communications EtherNetIP Network,Support for Sockets and Increased Packet Size,Compatible,,,,,,,,,,,,,
Features - Communications EtherNetIP Network,Unicast Produce/Consume Safety ,,,,Compatible,,,,,,,,,,
Features - Communications EtherNetIP Network,Unicast Produce/Consume Safety I/O,,,,Compatible,,,,,,,,,,
Features - Communications EtherNetIP Network,Unicast Produce/Consume Standard,,,,Compatible,,,,,,,,,,
Features - Communications EtherNetIP Network,Unicast Produce/Consume Standard I/O,Compatible,,,Compatible,,,,,,,,,,
Features - Communications EtherNetIP Network,Updated EDS Files,Compatible,,,,,,,,,,,,,
Features - Communications EtherNetIP Network,Various Security Enhancements,Compatible,,,,,,,,,,,,,
Features - Communications General,CIP Sync Time Coordination,Compatible,,,Compatible,,,,,,,,,Compatible,
Features - Communications General,Class 0 Messaging (Safety),Compatible,,,,,,,,,,,,Not Compatible,
Features - Communications General,Class 1 Messaging (I/O),Compatible,,,,,,,,,,,,Not Compatible,
Features - Communications General,Class 3 Messaging (MSG),Compatible,,,,,,,,,,,,Compatible,
Features - Communications General,"Communication Slot, Restricted ",,,,Compatible,,,,,,,,,,
Features - Communications General,DF1 Radio Modem Broadcast Support,,,,Compatible,,,,,,,,,,
Features - Communications General,DF1 Radio Modem Protocol Support,,,,Compatible,,,,,,,,,,
Features - Communications General,Produce/Consume Tag Structures Status,,,,Compatible,,,,,,,,,,
Features - Communications General,RPI Limit Setting for Produce/Consume,,,,Compatible,,,,,,,,,,
Features - FactoryTalk Services,FactoryTalk Alarms and Events,,,May be Compatible,Compatible,,,,,,,,,,
Features - FactoryTalk Services,FactoryTalk Alarms and Events Redundancy,,,Not Compatible,Compatible,,,,,,,,,,
Features - FactoryTalk Services,FactoryTalk AssetCentre and RSMACC Archive Integration,,,Not Compatible,Compatible,,,,,,,,,,
Features - Firmware Management,Digitally Signed ,Compatible,,,,,,,,,,,,,
Features - Firmware Management,Logix5000 Firmware Supervisor,,,,Compatible,,,,,,,,,,
Features - Import Export,CSV Import-Export of FBD and SFC Text Boxes,,,,Compatible,,,,,,,,,,
Features - Import Export,Decorated Data for Import/Export in XML Format,,,,Compatible,,,,,,,,,,
Features - Import Export,Full Project Import/Export in XML Format,,,,Compatible,,,,,,,,,,
Features - Import Export,Program and Routine Partial Import/Export,,,,Compatible,,,,,,,,,,
Features - Import Export,Runtime Partial Import,,,,Compatible,,,,,,,,,,
Features - Integrated Motion On EtherNetIP,CIP Motion Using EtherNet/IP Networks,Compatible,,,Compatible,,,,,,,,,,
Features - Integrated Motion On EtherNetIP,"CIP Motion, Up to 128 Axes",Not Compatible,,,,,,,,,,,,,
Features - Integrated Motion On EtherNetIP,"CIP Motion, Up to 8 Axes",Compatible,,,,,,,,,,,,Compatible,
Features - Integrated Motion On EtherNetIP,Kinetix 5500 CIP-Motion Servo Drives,,,,Compatible,,,,,,,,,,
Features - Integrated Motion On EtherNetIP,Kinetix 5500 CIP-Safety Drives Supported,,,,Compatible,,,,,,,,,,
Features - Integrated Motion On EtherNetIP,Load Observer CIP Motion,,,,Compatible,,,,,,,,,,
Features - Integrated Motion On EtherNetIP,Motor Test and Commutation Angle Test,,,,Compatible,,,,,,,,,,
Features - Integrated Motion On EtherNetIP,PowerFlex Support,,,,Compatible,,,,,,,,,,
Features - Integrated Motion On EtherNetIP,Third Party Motor Support,,,,Compatible,,,,,,,,,,
Features - Ladder Logic,Enhancement to the Ladder Editor,,,,Compatible,,,,,,,,,,
Features - Motion Analog,"Home to Torque (Kinetix 2000, 6000, and 7000)",,,,Compatible,,,,,,,,,,
Features - Motion Coordinated,Active and Pending Motion,,,,Compatible,,,,,,,,,,
Features - Motion Coordinated,Updated Motion Coordinate Linear Move Instruction Merge All Functionality,,,,,,,,,,,,,,
Features - Motion General,Articulated Dependent Transform End Effecter Offsets,,,,Compatible,,,,,,,,,,
Features - Motion General,Automatic Device Configuration for Drives (ADC),,,,Compatible,,,,,,,,,,
Features - Motion General,Drive Multiplexing Provides Support for Multiple Coarse Update Rates,,,,Compatible,,,,,,,,,,
Features - Motion General,High-speed Drive-based Data Logging on Kinetix 5500 Drives,,,,,,,,,,,,,,
Features - Motion General,Interpolated Actual Position Acceleration Compensation,,,,Compatible,,,,,,,,,,
Features - Motion General,Kinematic Geometries,,,,Compatible,,,,,,,,,,
Features - Motion General,Kinematic Transformations Instructions Added,,,,Compatible,,,,,,,,,,
Features - Motion General,Kinetix 7000 Drive Analog Input Configuration,,,,Compatible,,,,,,,,,,
Features - Motion General,Load Observer,,,,Compatible,,,,,,,,,,
Features - Motion General,Master Driven Speed Control (MDSC),,,,Compatible,,,,,,,,,,
Features - Motion General,MCD and MCCD Motion Instructions Enhancements,,,,Compatible,,,,,,,,,,
Features - Motion General,Online Changes in Output CAM Editor,,,,Compatible,,,,,,,,,,
Features - Motion General,Positive-Negative Rotary Moves for MAM Instruction,,,,Compatible,,,,,,,,,,
Features - Motion General,PowerFlex 527 AC Drive Available,,,,,,,,,,,,,,
Features - Motion General,Programmable Jerk Control,,,,Compatible,,,,,,,,,,
Features - Motion General,Programmable Jerk Extensions,,,,Compatible,,,,,,,,,,
Features - Motion General,Programmable Jerk Support for Multi-Axis Instructions,,,,Compatible,,,,,,,,,,
Features - Motion General,Single-Axis Programmable Jerk Support,,,,Compatible,,,,,,,,,,
Features - Motion General,Torque Prove on Kinetix 5500 Drives,,,,,,,,,,,,,,
Features - Motion SERCOS,AutoFlash for SERCOS Drives,,,,Compatible,,,,,,,,,,
Features - Motion SERCOS,Kinetix 5700 Servo Drive System,,,,Compatible,,,,,,,,,,
Features - Motion SERCOS,Kinetix 6000M Integrated Drive-Motor Systems,,,,Compatible,,,,,,,,,,
Features - Programming,Active Step Maintained During SFC Online Edit,,,,Compatible,,,,,,,,,,
Features - Programming,Advanced Process Control Instructions,,,,Compatible,,,,,,,,,,
Features - Programming,Enhancement to the Data Type Editor,,,,Compatible,,,,,,,,,,
Features - Programming,Enhancement to the power rails,,,,Compatible,,,,,,,,,,
Features - Programming,FactoryTalk Alarms and Events (Logix-Based Alarms),,,Compatible,Compatible,,,,,,,,,,
Features - Programming,HMI Button Control Instructions,,,,,,,,,,,,,,
Features - Programming,HMI Button Control instructions,,,Compatible,Compatible,,,,,,,,,,
Features - Programming,Instruction Defaults (FBD and SFC Programming Languages),,,,Compatible,,,,,,,,,,
Features - Programming,New Program Parameters,,,,Compatible,,,,,,,,,,
Features - Programming,Produced_Consumed Tag Structures Status,,,,Compatible,,,,,,,,,,
Features - Programming,Runtime Detection of Controller Modifications,,,,Compatible,,,,,,,,,,
Features - Programming,Support for Application Code Manager,,,,Compatible,,,,,,,,,,
Features - Redundancy,Component Change Detection,,,,,,,,,,,,,,
Features - Safety,EtherNetIP and ControlNet CIP Safety,,,,Compatible,,,,,,,,,,
Features - Safety,GuardLogix Controllers Support Standard ControlLogix Functions,,,,Compatible,,,,,,,,,,
Features - Safety,GuardLogix Safety Instructions,,,,Compatible,,,,,,,,,,
Features - Safety,Integrated Safety Safe Torque Off - Kinetix 5500 Drives,,,,,,,,,,,,,,
Features - Safety,Kinetix 6000 Advanced Safety Drive_S1 and Enhanced Safe Torque-off Drive_S0,,,,Compatible,,,,,,,,,,
Features - Safety,Safe and Standard Connections for Safety Supported on One Device,,,,Compatible,,,,,,,,,,
Features - Safety,Support for Remote Safety Modules,,,,Compatible,,,,,,,,,,
Features - Security,Change Detection Audit Value,,,,Compatible,,,,,,,,,,
Features - Security,Controller Log,,,,Compatible,,,,,,,,,,
Features - Security,Data Access Control,,,,Compatible,,,,,,,,,,
Features - Security,License-Based Source Protection,,,,Compatible,,,,,,,,,,
Features - Security,Security Authority for Authentication and Authorization,,,,Compatible,,,,,,,,,,
Features - Security,Security Log-On/Log-Off,,,,Compatible,,,,,,,,,,
Features - Security,System and Device-Level Security,,,,Compatible,,,,,,,,,,
Features - Sequential Function Charts,Enhancement to Sequential Function Chart and Block Diagram Editors,,,,Compatible,,,,,,,,,,
Virtualization,Supported on VMware (KB 566423 ),,,May be Compatible,May be Compatible,,,,,,,,,,
Redundancy,V16 Enhanced Redundancy,Not Compatible,,,,,,,,,,,,Compatible,
Redundancy,V16 Standard  Redundancy,Not Compatible,,,,,,,,,,,,,
Redundancy,V19 Enhanced Redundancy,Compatible,,,,,,,,,,,,Compatible,
Redundancy,V20 Enhanced Redundancy,Compatible,,,,,,,,,,,,,
Firmware Migration,1756-EN2TR 2.x,Not Compatible,,,,,,,,,,,,,
Firmware Migration,1756-EN2TR 3.x,Not Compatible,,,,,,,,,,,,,
Firmware Migration,1756-EN2TR 4.x,Not Compatible,,,,,,,,,,,,,
Firmware Migration,1756-EN2TR 5.028,Compatible,,,,,,,,,,,,,
Firmware Migration,1756-EN2TR 5.0x,Not Compatible,,,,,,,,,,,,,
Firmware Migration,1756-IB16 1.x,,,,,,,,,,Not Compatible,,,,
Firmware Migration,1756-IB16 2.x,,,,,,,,,,Compatible,,,,
Firmware Migration,1756-IB16 3.x,,,,,,,,,,Not Compatible,,,,
Firmware Migration,1756-IB16D 1.x,,,,,,,,,,,,Not Compatible,,
Firmware Migration,1756-IB16D 2.x,,,,,,,,,,,,Compatible,,
Firmware Migration,1756-IB16D 3.x,,,,,,,,,,,,Not Compatible,,
Firmware Migration,1756-IB32/B 3.x,,,,,,,Compatible,,,,,,,
Firmware Migration,1756-OB16D 1.x,,,,,,,,,Not Compatible,,,,,
Firmware Migration,1756-OB16D 2.x,,,,,,,,,Not Compatible,,,,,
Firmware Migration,1756-OB16D 3.x,,,,,,,,,Compatible,,,,,
Firmware Migration,1756-OB16E 1.x,,,,,,,,,,,Not Compatible,,,
Firmware Migration,1756-OB16E 2.x,,,,,,,,,,,Not Compatible,,,
Firmware Migration,1756-OB16E 3.x,,,,,,,,,,,Compatible,,,
Firmware Migration,1756-OB32 1.x,,,,,Not Compatible,,,,,,,,,
Firmware Migration,1756-OB32 2.x,,,,,Compatible,,,,,,,,,
Firmware Migration,1756-OB32 3.x,,,,,Not Compatible,,,,,,,,,
Firmware Migration,1783-ETAPxF 2.x,,,,,,,,,,,,,Compatible,
Module Replacement,1756-EN2F,Not Compatible,,,,,,,,,,,,,
Module Replacement,1756-EN2T,Not Compatible,,,,,,,,,,,,,
Module Replacement,1756-EN2TR,Compatible,,,,,,,,,,,,,
Module Replacement,1756-EN2TXT,Not Compatible,,,,,,,,,,,,,
Module Replacement,1756-EN3TR,Compatible,,,,,,,,,,,,,
Module Replacement,1756-ENBT,Not Compatible,,,,,,,,,,,,,
Module Replacement,1756-EWEB,Not Compatible,,,,,,,,,,,,,
Module Replacement,1756-IB16 1.x,,,,,,,,,,Not Compatible,,,,
Module Replacement,1756-IB16 2.x,,,,,,,,,,Compatible,,,,
Module Replacement,1756-IB16 3.x,,,,,,,,,,Compatible,,,,
Module Replacement,1756-IB16D 1.x,,,,,,,,,,,,Not Compatible,,
Module Replacement,1756-IB16D 2.x,,,,,,,,,,,,Compatible,,
Module Replacement,1756-IB16D 3.x,,,,,,,,,,,,Compatible,,
Module Replacement,1756-IB32 3.x,,,,,,,Compatible,,,,,,,
Module Replacement,1756-OB16D 1.x,,,,,,,,,Not Compatible,,,,,
Module Replacement,1756-OB16D 2.x,,,,,,,,,Not Compatible,,,,,
Module Replacement,1756-OB16D 3.x,,,,,,,,,Compatible,,,,,
Module Replacement,1756-OB16E 1.x,,,,,,,,,,,Not Compatible,,,
Module Replacement,1756-OB16E 2.x,,,,,,,,,,,Not Compatible,,,
Module Replacement,1756-OB16E 3.x,,,,,,,,,,,Compatible,,,
Module Replacement,1756-OB32 1.x,,,,,Not Compatible,,,,,,,,,
Module Replacement,1756-OB32 2.x,,,,,Compatible,,,,,,,,,
Module Replacement,1756-OB32 3.x,,,,,Compatible,,,,,,,,,
Anomaly - General," Logix Designer application Launcher can fail when you click About > Support (Lgx00190760, Lgx00190865)",,,,Known Anomaly,,,,,,,,,,
Anomaly - General, SD Card Corrupt File System,,Known Anomaly,,,,,,,,,,,,
Anomaly - General,@AlarmSet Values,,Known Anomaly,,,,,,,,,,,,
Anomaly - General,A Program’s First Scan May Not Occur if the Program is Uninhibited,,,,,,,,,,,,,,
Anomaly - General,"After power cycling, the controller SFC routines do not execute properly (00229202)",,,,,,,,,,,,,,
Anomaly - General,Alarm Log Content Lost at Powerup (Lgx00138163),,,,,,,,,,,,,,
Anomaly - General,Aliased Logix Designer Tags,,Known Anomaly,,,,,,,,,,,,
Anomaly - General,Anomalies for Studio 5000 View Designer 3.01,,,Known Anomaly,,,,,,,,,,,
Anomaly - General,Anomalies for Studio 5000 View Designer version 4.01,,,Known Anomaly,,,,,,,,,,,
Anomaly - General,Anomalies for Studio 5000 View Designer version 5.01,,,Known Anomaly,,,,,,,,,,,
Anomaly - General,Anomalies for Studio 5000 View Designer version 5.02,,,Known Anomaly,,,,,,,,,,,
Anomaly - General,Applications with PowerFlex drives in the I/O configuration can experience a major non-recoverable fault (MNRF),,,,,,,,,,,,,,
Anomaly - General,Axis stuck in synchronizing state when SSV and inhibiting axis on the same module (00229573),,,,,,,,,,,,,,
Anomaly - General,Button Behavior,,Known Anomaly,,,,,,,,,,,,
Anomaly - General,Cannot Save Firmware to Secure Digital Card (00170011),,,,,,,,,,,,,,
Anomaly - General,Changing Data Context in Add-On Instructions does not change the description and project documentation in Data Context tag (Lgx0,,,,Known Anomaly,,,,,,,,,,
Anomaly - General,Channel FLT LED Not Triggered During Calibration,,,,,,Corrected Anomaly,,,,,,,,
Anomaly - General,CIP Motion Axis Feedback 1 and 2 length incorrectly converted by the controller (00218528),,,,,,,,,,,,,,
Anomaly - General,Clamp Alarms Set with Clamping Disabled,,,,,,Corrected Anomaly,,,,,,,,
Anomaly - General,Class1ConnectionCount System Tag,,Known Anomaly,,,,,,,,,,,,
Anomaly - General,ConfigUpdateInProcess bit does not change state when issuing an SSV instruction to change the value of the Conversion constant (,,,,,,,,,,,,,,
Anomaly - General,Conflicting Error Messages,,Known Anomaly,,,,,,,,,,,,
Anomaly - General,Connected Cached Messages Do Not Time Out after Repeated Connection Requests,,,,,,,,,,,,,,
Anomaly - General,Consumed axis actual position exceeds the produced axis unwind position (00225674),,,,,,,,,,,,,,
Anomaly - General,Controller Appears to Be Stuck in the Transition to Run Mode (Lgx00154875),,,,,,,,,,,,,,
Anomaly - General,Controller Does Not Transition to Run Mode after Online Edit of PowerFlex Drive Parameters (00219408),,,,,,,,,,,,,,
Anomaly - General,Controller Tag Reference,,Known Anomaly,,,,,,,,,,,,
Anomaly - General,Corrected Anomalies in Studio 5000 Logix Designer version 31.01,,,,Corrected Anomaly,,,,,,,,,,
Anomaly - General,Data Logging,,Known Anomaly,,,,,,,,,,,,
Anomaly - General,DateTimeCurrentValue Tag,,Corrected Anomaly,,,,,,,,,,,,
Anomaly - General,Download While Screen Saver Is Running,,Known Anomaly,,,,,,,,,,,,
Anomaly - General,Downloading a PointIO project may cause error 16#0205 (Lgx00190599),,,,Known Anomaly,,,,,,,,,,
Anomaly - General,Duplicate IP Address State,Known Anomaly,,,,,,,,,,,,,
Anomaly - General,Emulation - Underrange Might Not Always Trigger (Lgx00196732),,,,,,,,Corrected Anomaly,,,,,,
Anomaly - General,Emulation - Wrong Setpoints for Over/Underrange (Lgx00196120),,,,,,,,Corrected Anomaly,,,,,,
Anomaly - General,Emulation Error: Leave Outputs in Program Mode State,,,,,,Corrected Anomaly,,,,,,,,
Anomaly - General,Emulation Error: Ramping Bit Does Not Turn Off,,,,,,Corrected Anomaly,,,,,,,,
Anomaly - General,Enumerated Properties,,Known Anomaly,,,,,,,,,,,,
Anomaly - General,Error When Number of Alarms is Exceeded,,Known Anomaly,,,,,,,,,,,,
Anomaly - General,Events in Sequence Missed (00176328),,,,,,,,,,,,,,
Anomaly - General,Events Tab,,Known Anomaly,,,,,,,,,,,,
Anomaly - General,Execution of a MAS Instruction results in error 104 (00213035),,,,,,,,,,,,,,
Anomaly - General,Fail Drive Connection on Peripheral Error,,,,,,,,,,,,,,
Anomaly - General,Firmware Supervisor Does Not Update Kinetix 5700 2198-D032-ERS4 Drive Firmware,,,,,,,,,,,,,,
Anomaly - General,Firmware Supervisor fails with “(Code 16#fe11) Automated Firmware Update Failed: Firmware file invalid.”,,,,,,,,,,,,,,
Anomaly - General,Homing an axis introduces a spike in the Actual Velocity attribute (00225946),,,,,,,,,,,,,,
Anomaly - General,Inconsistent Synchronization Indications and Tag Communication Errors,,Known Anomaly,,,,,,,,,,,,
Anomaly - General,Internal Diagnostic Can Cause I/O Module to Fault (00204713),,,,,,Known Anomaly,,Known Anomaly,,,,,,
Anomaly - General,Issues When Using ControlFlash During Screen Change,,Known Anomaly,,,,,,,,,,,,
Anomaly - General,Kinetix Drives Group Sync Timed Out,,,,,,,,,,,,,,
Anomaly - General,Known anomalies for Studio 5000 Logix Designer version 31.00.00,,,,Known Anomaly,,,,,,,,,,
Anomaly - General,Known anomalies for Studio 5000 Logix Designer version 31.00.01,,,,Known Anomaly,,,,,,,,,,
Anomaly - General,Known Anomalies in Studio 5000 Logix Designer version 31.01,,,,Known Anomaly,,,,,,,,,,
Anomaly - General,Known issues and limitations for Studio 5000 View Designer 2.03,,,Known Anomaly,,,,,,,,,,,
Anomaly - General,Labels are cut off and dislocated in BOOTP-DHCP Server applications (x152848),,,,Known Anomaly,,,,,,,,,,
Anomaly - General,Low controller memory can prevent connection to the controller (Lgx00179908),,,,Known Anomaly,,,,,,,,,,
Anomaly - General,May not be able to select the correct revision when adding 2715 HMI PanelView 5500 HMI module to Logix Designer (Lgx00191064),,,,Known Anomaly,,,,,,,,,,
Anomaly - General,MCLM/MCCM Set to Merge All Can Cause Controller MNRF (00220553),,,,,,,,,,,,,,
Anomaly - General,Media Space Calculation Incorrect with 3rd-party Secure Digital Cards (00175295),,,,,,,,,,,,,,
Anomaly - General,Misconfigured System Can Cause Lost Communication (Lgx00195524),,,,,,Corrected Anomaly,,Corrected Anomaly,,,,,,
Anomaly - General,Module Can Stop Updating CIP Sync System Time (00181483),,,,,,Known Anomaly,,Known Anomaly,,,,,,
Anomaly - General,Nested SFC with Selection Branch execution on first transition may be incorrect (00227908),,,,,,,,,,,,,,
Anomaly - General,Network Tab Delay,,Known Anomaly,,,,,,,,,,,,
Anomaly - General,No Tag Values In Alarm Annunciation,,Known Anomaly,,,,,,,,,,,,
Anomaly - General,Online Editing of PowerFlex Drives (00227003),,,,,,,,,,,,,,
Anomaly - General,Output state user definded value must be 0 when Hold Last State is selected (Lgx00164117,,,,Known Anomaly,,,,,,,,,,
Anomaly - General,Outputs Stay Off in Program Mode,,,,,,Corrected Anomaly,,,,,,,,
Anomaly - General,Phase Manager and Sequence Manager sometimes show different phase states (Lgx00183769),,,,Known Anomaly,,,,,,,,,,
Anomaly - General,PhaseManager and SequenceManager Show Different States of Phase in Program Mode,,,,,,,,,,,,,,
Anomaly - General,Ramp Interrupted by Mode Change—Module Freezes,,,,,,Corrected Anomaly,,,,,,,,
Anomaly - General,RampAlarm Not Triggering,,,,,,Corrected Anomaly,,,,,,,,
Anomaly - General,Read Fails Tag Does Not Exist or External Access Property Set to None,,Known Anomaly,,,,,,,,,,,,
Anomaly - General,Remote ControlLogix I/O Modules Unavailable After Ethernet Cable Break is Corrected (00228289),,,,,,Known Anomaly,,Known Anomaly,,,,,,
Anomaly - General,Repeated Disconnect and Reconnect,,Known Anomaly,,,,,,,,,,,,
Anomaly - General,"Routines may not indicate an Overflow Fault setting mismatch (Lgx00190654, Lgx00190708)",,,,Known Anomaly,,,,,,,,,,
Anomaly - General,ShelveDuration and MaxShelveDuration Values,,Known Anomaly,,,,,,,,,,,,
Anomaly - General,"Some Safety faults are not logged in the Controller Log (00213448, 00222776, 00223323)",,,,,,,,,,,,,,
Anomaly - General,Source Loop Current Configuration Affects Other Channels,,,,,,,,Known Anomaly,,,,,,
Anomaly - General,Sourcing Over Current Condition (Lgx00187253),,,,,,,,Corrected Anomaly,,,,,,
Anomaly - General,SRT (Sort) instruction with a large length can cause the controller to MNRF,,,,,,,,,,,,,,
Anomaly - General,State Enter Event Does Not Trigger,,Known Anomaly,,,,,,,,,,,,
Anomaly - General,State Enter Events,,Known Anomaly,,,,,,,,,,,,
Anomaly - General,Syntax Error,,Known Anomaly,,,,,,,,,,,,
Anomaly - General,Tag Values Stop Updating and Display an Error,,Corrected Anomaly,,,,,,,,,,,,
Anomaly - General,TCP Window Size,Known Anomaly,,,,,,,,,,,,,
Anomaly - General,Tertiary DNS Configuration,,Known Anomaly,,,,,,,,,,,,
Anomaly - General,Trend Chart,,Known Anomaly,,,,,,,,,,,,
Anomaly - General,Trend restarts from the beginning when Pause is clicked (Lgx00184775),,,,Known Anomaly,,,,,,,,,,
Anomaly - General,Unexpected command sent to phase when connection is lost to Logix Designer (00224198),,,,,,,,,,,,,,
Anomaly - General,UnitID member is not cleared to zero when FactoryTalk Batch is disconnected (00219832),,,,,,,,,,,,,,
Anomaly - General,"Using compare instruction with string data types (00223326, 00223030)",,,,,,,,,,,,,,
Anomaly - General,Using MSG Instruction to Send Email Messages,Known Anomaly,,,,,,,,,,,,,
Anomaly - General,V31 online editing performance degradation,,,,Corrected Anomaly,,,,,,,,,,
Anomaly - General,Wall Clock Value Different From Previous Value (00169756),,,,,,,,,,,,,,
Anomaly - Add On Instructions,Changing Data Context for AOI does not change metadata context (Lgx00185356),,,,Known Anomaly,,,,,,,,,,
Anomaly - CIP Sync,CIP Sync Time Synchronization,,,,,,,,,,,,,,
Anomaly - Function Block,PI Function Block,,,,,,,,,,,,,,
Anomaly - Integrated Motion on EtherNetIP,Mechanical Brake Delay,,,,,,,,,,,,,,
Anomaly - Integrated Motion on EtherNetIP,MSF Instruction,,,,,,,,,,,,,,
Anomaly - Motion Analog,Feedback Fault,,,,,,,,,,,,,,
Anomaly - Motion General,Absolute Immediate or Passive Home,,,,,,,,,,,,,,
Anomaly - Motion General,Axis Schedule Changes After Project Import and Download (00169297),,,,,,,,,,,,,,
Anomaly - Motion General,AxisHomedStatus Bit Gets Set To Zero When Inhibiting the Axis,,,,,,,,,,,,,,
Anomaly - Motion General,"Import, Accessing Motion Module",,,,Known Anomaly,,,,,,,,,,
Anomaly - Motion General,Incorrect Execution Schedule for Scheduled Output Module (Lgx00157174),,,,,,,,,,,,,,
Anomaly - Motion General,MAM Instruction With Merge Enabled,,,,,,,,,,,,,,
Anomaly - Motion General,MAOC Drifting Errors,,,,,,,,,,,,,,
Anomaly - Motion General,MGSR and MGSD Instructions,,,,,,,,,,,,,,
Anomaly - Motion General,Motion Instruction Interference Can Prevent Axis From Being Enabled (00175334),,,,,,,,,,,,,,
Anomaly - Motion General,Motion Run Axis Tuning Instruction Gets Stuck (00172234),,,,,,,,,,,,,,
Anomaly - Motion General,Velocity Scaling Not Performed Before SLAT Setpoint Sent To Drive,,,,,,,,,,,,,,
Anomaly - Motion SERCOS,Absolute Feedback Offset,,,,,,,,,,,,,,
Anomaly - Motion SERCOS,Real Time Axis Attribute of VelocityFeedback,,,,,,,,,,,,,,
Anomaly - Programming,Accept Edits,,,,,,,,,,,,,,
Anomaly - Programming,Arithmetic State Flags,,,,,,,,,,,,,,
Anomaly - Programming,Attribute Value Incorrect with Get System Value Instruction (00169204),,,,,,,,,,,,,,
Anomaly - Programming,Attribute Values Incorrect with Set System Value Instruction (00169713),,,,,,,,,,,,,,
Anomaly - Programming,Expiration Times On a Logix Repository Record Can Differ (00171229),,,,,,,,,,,,,,
